N-1,N,nov_min_temp,nov_max_temp,aug_max_temp,dec_min_temp,july_max_temp,jan_min_temp,sept_max_temp,fall_precip,winter_precip,winter_min_temp_sd,winter_precip_sd,august_max_temp_sd,september_max_temp_sd,feb_min_temp,feb_max_temp,june_max_temp,june_max_temp_sd,july_max_temp_sd,dec_max_temp,nov_max_temp_sd.x
NA,311,41.1,61.26666667,89.41935484,34.93548387,89.74193548,43.51612903,82.2,2.93,3.3,6.332028496,3.883123193,3.775130846,7.855373737,46.17857143,62.71428571,85.73333333,7.556378139,5.842189897,48.38709677,9.727080341
311,1413,46.76666667,68.7,89.12903226,38.38709677,85.77419355,37.51612903,79.5,0.76,9.67,4.917285189,3.489217777,7.85171716,7.061714812,43.28571429,60.82142857,87.4,7.323085839,6.458635962,52.80645161,5.983598272
1413,2683,46.16666667,62.33333333,90.5483871,40.51612903,95.83870968,39.16129032,86.16666667,1.73,8.33,6.089099038,3.775579797,7.361334615,8.449988098,42.51724138,64.44827586,86.06666667,9.874849046,6.218771445,53.32258065,4.950327982
2683,3135,47.73333333,62.1,88.19354839,37.74193548,93.35483871,35.5483871,87.66666667,1.36,4.82,5.1255774,3.516156234,5.588198009,8.084041325,38.57142857,55.92857143,85.06666667,7.754568546,5.707003809,54.90322581,6.514440193
3135,5378,44.86666667,66.1,90.35483871,35.09677419,93.41935484,39.09677419,81.4,4.19,1.86,4.970695572,3.368949213,8.852677136,5.866816874,38.53571429,57.21428571,84.96666667,7.503945322,6.443467977,52.48387097,5.97898619
5378,8725,43.96666667,65.56666667,87.58064516,32.4516129,91.5483871,37.58064516,87.16666667,0.38,4.52,5.33689619,3.303233534,4.455514886,6.174102383,45.03571429,64.42857143,84.53333333,6.516468968,7.037228193,52.32258065,5.952011154
8725,4485,45.23333333,67,93.87096774,36.83870968,90.38709677,36.09677419,89.53333333,1.4,3.5,4.619907743,3.27481888,6.264939135,4.783232207,45,62.62068966,84.7,7.377271713,4.944204819,54.32258065,6.011483264
4485,4447,46.1,65.66666667,88.51612903,36.93548387,92.41935484,38.25806452,87.5,0.58,8.64,4.717372434,3.198703974,7.274938569,7.538102447,42.64285714,58.5,88.53333333,10.55603548,4.870141638,52.29032258,6.676429633
4447,5742,43.46666667,63.7,92.61290323,37.19354839,91.25806452,36.67741935,88.26666667,2.09,12.03,4.935696093,3.172528615,4.89678411,4.618926581,39.42857143,57.21428571,87.6,7.141911267,4.885132151,52.70967742,8.506184363
5742,4956,41.23333333,57.03333333,90.74193548,37,89.58064516,45.4516129,85.9,3.93,4.86,4.267524534,2.870997397,6.334917742,5.168427583,45.92857143,59.21428571,82.56666667,9.859996969,7.060567463,50.19354839,4.795711686
4956,9242,48.36666667,71.5,94.09677419,44.29032258,95.48387097,41.19354839,86.66666667,0,11.75,5.076914709,3.45347921,7.77755248,5.69573343,45.17241379,60.89655172,87.93333333,8.021236182,4.815744787,59.19354839,3.598371279
