Station,Date,Time,Precip,Air max,min,obs
ANTIOCH.C,19850101,800,0,49,26,33
ANTIOCH.C,19850102,800,0,52,27,30
ANTIOCH.C,19850103,800,0,45,27,37
ANTIOCH.C,19850104,800,0,50,28,30
ANTIOCH.C,19850105,800,0,43,30,36
ANTIOCH.C,19850106,800,0,51,36,42
ANTIOCH.C,19850107,800,0.06,54,41,48
ANTIOCH.C,19850108,800,0.11,56,42,51
ANTIOCH.C,19850109,800,0.01,49,41,47
ANTIOCH.C,19850110,800,0.17,56,32,47
ANTIOCH.C,19850111,800,0,42,33,36
ANTIOCH.C,19850112,800,0,49,27,30
ANTIOCH.C,19850113,800,0,44,27,37
ANTIOCH.C,19850114,800,0,40,29,37
ANTIOCH.C,19850115,800,0,45,36,39
ANTIOCH.C,19850116,800,0,47,34,38
ANTIOCH.C,19850117,800,0,43,30,32
ANTIOCH.C,19850118,800,0,43,32,37
ANTIOCH.C,19850119,800,0,43,35,36
ANTIOCH.C,19850120,800,0,39,36,37
ANTIOCH.C,19850121,800,0,41,36,39
ANTIOCH.C,19850122,800,0,43,37,
ANTIOCH.C,19850123,800,0,43,38,
ANTIOCH.C,19850124,800,0,44,37,41
ANTIOCH.C,19850125,800,0,46,40,
ANTIOCH.C,19850126,800,0,51,41,43
ANTIOCH.C,19850127,800,0,51,29,
ANTIOCH.C,19850128,800,0.07,50,33,43
ANTIOCH.C,19850129,800,0.02,50,30,
ANTIOCH.C,19850130,800,0,56,33,44
ANTIOCH.C,19850131,800,0,59,31,45
ANTIOCH.C,19850201,800,0,56,28,45
ANTIOCH.C,19850202,800,0,54,28,42
ANTIOCH.C,19850203,800,0,55,30,37
ANTIOCH.C,19850204,800,0,53,34,44
ANTIOCH.C,19850205,800,0,55,26,40
ANTIOCH.C,19850206,800,0,53,28,39
ANTIOCH.C,19850207,800,0.02,51,38,42
ANTIOCH.C,19850208,800,0.81,56,41,48
ANTIOCH.C,19850209,800,0.01,56,37,48
ANTIOCH.C,19850210,800,0,55,33,42
ANTIOCH.C,19850211,800,0,56,31,42
ANTIOCH.C,19850212,800,0,69,39,50
ANTIOCH.C,19850213,800,0,67,39,57
ANTIOCH.C,19850214,800,0,67,36,50
ANTIOCH.C,19850215,800,0,71,37,54
ANTIOCH.C,19850216,800,0,71,41,55
ANTIOCH.C,19850217,800,0,68,42,52
ANTIOCH.C,19850218,800,0,70,45,56
ANTIOCH.C,19850219,800,0,67,37,53
ANTIOCH.C,19850220,800,0,63,46,53
ANTIOCH.C,19850221,800,0,74,50,58
ANTIOCH.C,19850222,800,0,76,45,59
ANTIOCH.C,19850223,800,0,73,49,59
ANTIOCH.C,19850224,800,0,73,38,52
ANTIOCH.C,19850225,800,0,72,44,58
ANTIOCH.C,19850226,800,0,70,43,59
ANTIOCH.C,19850227,800,0,76,44,61
ANTIOCH.C,19850228,2359,0,62,43,62
ANTIOCH.C,19850301,1700,0,75,36,56
ANTIOCH.C,19850302,1700,0.04,61,42,45
ANTIOCH.C,19850303,1700,0,58,42,48
ANTIOCH.C,19850304,1700,0.03,62,43,49
ANTIOCH.C,19850305,1700,0,58,36,48
ANTIOCH.C,19850306,1700,0.3,50,37,48
ANTIOCH.C,19850307,1700,0.21,54,38,49
ANTIOCH.C,19850308,1700,0.01,58,33,46
ANTIOCH.C,19850309,1700,0,59,35,45
ANTIOCH.C,19850310,1700,0.17,64,45,52
ANTIOCH.C,19850311,1700,0.35,57,40,49
ANTIOCH.C,19850312,1700,0.01,63,38,54
ANTIOCH.C,19850313,1700,0,59,37,53
ANTIOCH.C,19850314,1700,0,65,39,54
ANTIOCH.C,19850315,1700,0,71,39,58
ANTIOCH.C,19850316,1700,0,67,41,53
ANTIOCH.C,19850317,1700,0,64,44,55
ANTIOCH.C,19850318,1700,0.03,61,45,48
ANTIOCH.C,19850319,1700,0,61,40,52
ANTIOCH.C,19850320,1700,0,66,40,47
ANTIOCH.C,19850321,1700,0,67,42,53
ANTIOCH.C,19850322,1700,0,64,37,57
ANTIOCH.C,19850323,1700,0,67,51,63
ANTIOCH.C,19850324,1700,0,68,41,56
ANTIOCH.C,19850325,1700,0,61,39,49
ANTIOCH.C,19850326,1700,0,59,34,43
ANTIOCH.C,19850327,1700,0.47,49,38,
ANTIOCH.C,19850328,1700,0.18,52,41,
ANTIOCH.C,19850329,1700,0.1,59,43,56
ANTIOCH.C,19850330,1700,0,64,41,59
ANTIOCH.C,19850331,1700,0,71,43,63
ANTIOCH.C,19850401,1700,0,77,46,63
ANTIOCH.C,19850402,1700,0,79,48,69
ANTIOCH.C,19850403,1700,0,83,49,70
ANTIOCH.C,19850404,1700,0,83,57,70
ANTIOCH.C,19850405,1700,0,83,52,71
ANTIOCH.C,19850406,1700,0,85,47,59
ANTIOCH.C,19850407,1700,0,72,44,59
ANTIOCH.C,19850408,1700,0,75,44,68
ANTIOCH.C,19850409,1700,0,83,45,66
ANTIOCH.C,19850410,1700,0,78,47,63
ANTIOCH.C,19850411,1700,0,73,49,63
ANTIOCH.C,19850412,1700,0,74,48,72
ANTIOCH.C,19850413,1700,0,84,47,70
ANTIOCH.C,19850414,1700,0,88,52,71
ANTIOCH.C,19850415,1700,0,92,53,66
ANTIOCH.C,19850416,1700,0,71,46,62
ANTIOCH.C,19850417,1700,0.22,70,48,56
ANTIOCH.C,19850418,1700,0,66,45,61
ANTIOCH.C,19850419,1700,0,70,46,58
ANTIOCH.C,19850420,1700,0,67,47,52
ANTIOCH.C,19850421,1700,0,61,48,55
ANTIOCH.C,19850422,1700,0,67,45,60
ANTIOCH.C,19850423,1700,0,73,45,68
ANTIOCH.C,19850424,1700,0,80,49,65
ANTIOCH.C,19850425,1700,0,77,51,60
ANTIOCH.C,19850426,1700,0,71,53,64
ANTIOCH.C,19850427,1700,0,79,53,71
ANTIOCH.C,19850428,1700,0,86,45,64
ANTIOCH.C,19850429,1700,0,79,46,62
ANTIOCH.C,19850430,1700,0,80,47,70
ANTIOCH.C,19850501,800,0,84,44,68
ANTIOCH.C,19850502,800,0,75,59,67
ANTIOCH.C,19850503,800,0,74,50,62
ANTIOCH.C,19850504,800,0,80,48,63
ANTIOCH.C,19850505,800,0,84,43,62
ANTIOCH.C,19850506,800,0,74,47,60
ANTIOCH.C,19850507,800,0,75,45,61
ANTIOCH.C,19850508,800,0,74,41,64
ANTIOCH.C,19850509,800,0,73,41,62
ANTIOCH.C,19850510,800,0,69,51,61
ANTIOCH.C,19850511,800,0,75,45,55
ANTIOCH.C,19850512,800,0,82,40,61
ANTIOCH.C,19850513,800,0,82,46,74
ANTIOCH.C,19850514,2359,0,79,54,70
ANTIOCH.C,19850515,2359,0,80,55,
ANTIOCH.C,19850516,2359,0,80,54,64
ANTIOCH.C,19850517,2359,0,79,54,
ANTIOCH.C,19850518,2359,0,78,53,60
ANTIOCH.C,19850519,2359,0,79,53,62
ANTIOCH.C,19850520,2359,0,78,53,71
ANTIOCH.C,19850521,2359,0,79,52,69
ANTIOCH.C,19850522,2359,0,81,54,73
ANTIOCH.C,19850523,2359,0,82,55,73
ANTIOCH.C,19850524,2359,0,80,55,67
ANTIOCH.C,19850525,2359,0,81,55,61
ANTIOCH.C,19850526,2359,0,81,54,58
ANTIOCH.C,19850527,2359,0,81,55,63
ANTIOCH.C,19850528,2359,0,81,54,50
ANTIOCH.C,19850529,2359,0,80,54,57
ANTIOCH.C,19850530,2359,0,82,54,67
ANTIOCH.C,19850531,2359,0,84,55,59
ANTIOCH.C,19850601,2359,0.22,84,56,54
ANTIOCH.C,19850602,2359,0,83,56,
ANTIOCH.C,19850603,2359,0,82,56,70
ANTIOCH.C,19850604,2359,0,81,56,74
ANTIOCH.C,19850605,2359,0,81,56,75
ANTIOCH.C,19850606,2359,0,82,56,78
ANTIOCH.C,19850607,2359,0,82,57,75
ANTIOCH.C,19850608,2359,0,85,56,74
ANTIOCH.C,19850609,2359,0,86,57,82
ANTIOCH.C,19850610,2359,0,85,58,83
ANTIOCH.C,19850611,2359,0,83,56,87
ANTIOCH.C,19850612,2359,0,85,57,76
ANTIOCH.C,19850613,2359,0,86,57,77
ANTIOCH.C,19850614,2359,0,87,59,83
ANTIOCH.C,19850615,2359,0,86,59,84
ANTIOCH.C,19850616,2359,0,85,58,82
ANTIOCH.C,19850617,2359,0,87,57,76
ANTIOCH.C,19850618,2359,0,88,58,
ANTIOCH.C,19850619,2359,0,88,59,
ANTIOCH.C,19850620,2359,0,88,58,
ANTIOCH.C,19850621,2359,0,90,61,
