,Year,N,nov_min_temp,nov_max_temp,aug_max_temp,dec_min_temp,july_max_temp,jan_min_temp,sept_max_temp,fall_precip,winter_precip,winter_min_temp_sd,winter_precip_sd,logN
Year,1,-0.501423863,-0.254659197,0.262356478,0.398154879,0.232052505,0.310778995,-0.013853036,0.446586843,0.006501151,-0.029545201,-0.470407202,-0.360489143,-0.833599027
N,-0.501423863,1,0.249783072,-0.058775503,-0.214683115,-0.018790352,-0.197643993,0.166042549,-0.1672014,0.098291599,0.193017492,0.198027268,0.132246573,0.733575939
nov_min_temp,-0.254659197,0.249783072,1,0.361288318,0.077069709,0.252814613,0.269390464,-0.15324994,-0.229215498,-0.2718642,0.283118104,0.108563239,0.162990425,0.281394669
nov_max_temp,0.262356478,-0.058775503,0.361288318,1,0.276283936,0.230726926,0.265072154,0.015804334,0.044578901,-0.37109658,-0.011679157,-0.28682473,-0.179283262,-0.292899584
aug_max_temp,0.398154879,-0.214683115,0.077069709,0.276283936,1,0.140546719,0.303123896,0.05530946,0.384319247,-0.055532416,-0.122771062,-0.331631008,-0.236284479,-0.425871867
dec_min_temp,0.232052505,-0.018790352,0.252814613,0.230726926,0.140546719,1,0.283605066,0.378487712,0.019733579,-0.095676548,0.460726199,-0.006097908,0.011062523,-0.156698124
july_max_temp,0.310778995,-0.197643993,0.269390464,0.265072154,0.303123896,0.283605066,1,0.13040025,0.22574553,0.058318792,0.125535097,-0.069546354,-0.005125211,-0.346176684
jan_min_temp,-0.013853036,0.166042549,-0.15324994,0.015804334,0.05530946,0.378487712,0.13040025,1,-0.106512292,0.21115201,0.06425148,0.171171703,0.165204485,0.00348185
sept_max_temp,0.446586843,-0.1672014,-0.229215498,0.044578901,0.384319247,0.019733579,0.22574553,-0.106512292,1,0.062683011,-0.169381479,-0.298100117,-0.22180807,-0.344749476
fall_precip,0.006501151,0.098291599,-0.2718642,-0.37109658,-0.055532416,-0.095676548,0.058318792,0.21115201,0.062683011,1,-0.04980234,0.174694366,0.068483617,0.03458515
winter_precip,-0.029545201,0.193017492,0.283118104,-0.011679157,-0.122771062,0.460726199,0.125535097,0.06425148,-0.169381479,-0.04980234,1,0.020046193,-0.024814694,0.129686263
winter_min_temp_sd,-0.470407202,0.198027268,0.108563239,-0.28682473,-0.331631008,-0.006097908,-0.069546354,0.171171703,-0.298100117,0.174694366,0.020046193,1,0.88718253,0.450397972
winter_precip_sd,-0.360489143,0.132246573,0.162990425,-0.179283262,-0.236284479,0.011062523,-0.005125211,0.165204485,-0.22180807,0.068483617,-0.024814694,0.88718253,1,0.363943966
logN,-0.833599027,0.733575939,0.281394669,-0.292899584,-0.425871867,-0.156698124,-0.346176684,0.00348185,-0.344749476,0.03458515,0.129686263,0.450397972,0.363943966,1
